2026 Parenteral and Enteral Nutrition Items and Services (PEN) Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-contiguous areas ***,,,,
B4193,,,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,339.9,0,Parenteral sol 52-73 gm prot
B4197,,,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,413.83,0,Parenteral sol 74-100 gm pro
B4199,,,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,472.87,0,Parenteral sol > 100gm prote
B4216,,,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,11.42,0,Parenteral nutrition additiv
B4220,,,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,11.84,0,Parenteral supply kit premix
B4222,,,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,14.62,0,Parenteral supply kit homemi
B4224,,,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,Parenteral administration ki
B5000,,,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,17.6,0,Parenteral sol renal-amirosy
B5100,,,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,6.87,0,Parenteral solution hepatic
B9002,MS,,40.98,60.75,40.98,60.75,39.47,60.75,38.93,60.75,39.15,60.75,38.36,60.75,37.79,60.75,37.79,60.75,40.98,60.75,40.98,60.75,39.47,60.75,39.15,60.75,39.57,60.75,39.57,60.75,39.47,60.75,40.98,60.75,40.98,60.75,38.36,60.75,37.79,60.75,38.36,60.75,39.57,60.75,39.47,60.75,39.47,60.75,40.98,60.75,39.15,60.75,40.98,60.75,39.47,60.75,39.47,60.75,38.36,60.75,37.79,60.75,39.47,60.75,38.93,60.75,37.79,60.75,39.57,60.75,39.47,60.75,38.93,60.75,37.79,60.75,38.36,60.75,40.98,60.75,39.47,60.75,40.98,60.75,39.47,60.75,39.15,60.75,40.98,60.75,38.36,60.75,38.93,60.75,39.57,60.75,40.98,60.75,39.15,60.75,61.79,0,61.79,0,61.79,0,61.79,0,Enter nutr inf pump any type
B9002,NU,,819.54,1240.45,819.54,1240.45,789.37,1240.45,778.53,1240.45,783.01,1240.45,767.12,1240.45,755.74,1240.45,755.74,1240.45,819.54,1240.45,819.54,1240.45,789.39,1240.45,783.01,1240.45,791.44,1240.45,791.44,1240.45,789.39,1240.45,819.54,1240.45,819.54,1240.45,767.12,1240.45,755.74,1240.45,767.12,1240.45,791.44,1240.45,789.39,1240.45,789.39,1240.45,819.54,1240.45,783.01,1240.45,819.54,1240.45,789.39,1240.45,789.39,1240.45,767.12,1240.45,755.74,1240.45,789.37,1240.45,778.53,1240.45,755.74,1240.45,791.44,1240.45,789.37,1240.45,778.53,1240.45,755.74,1240.45,767.12,1240.45,819.54,1240.45,789.39,1240.45,819.54,1240.45,789.37,1240.45,783.01,1240.45,819.54,1240.45,767.12,1240.45,778.53,1240.45,791.44,1240.45,819.54,1240.45,783.01,1240.45,1261.32,0,1261.32,0,1261.32,0,1261.32,0,Enter nutr inf pump any type
B9002,RR,,81.95,121.5,81.95,121.5,78.94,121.5,77.85,121.5,78.3,121.5,76.71,121.5,75.57,121.5,75.57,121.5,81.95,121.5,81.95,121.5,78.94,121.5,78.3,121.5,79.14,121.5,79.14,121.5,78.94,121.5,81.95,121.5,81.95,121.5,76.71,121.5,75.57,121.5,76.71,121.5,79.14,121.5,78.94,121.5,78.94,121.5,81.95,121.5,78.3,121.5,81.95,121.5,78.94,121.5,78.94,121.5,76.71,121.5,75.57,121.5,78.94,121.5,77.85,121.5,75.57,121.5,79.14,121.5,78.94,121.5,77.85,121.5,75.57,121.5,76.71,121.5,81.95,121.5,78.94,121.5,81.95,121.5,78.94,121.5,78.3,121.5,81.95,121.5,76.71,121.5,77.85,121.5,79.14,121.5,81.95,121.5,78.3,121.5,123.59,0,123.59,0,123.59,0,123.59,0,Enter nutr inf pump any type
B9002,UE,,614.66,930.34,614.66,930.34,592.03,930.34,583.9,930.34,587.26,930.34,575.34,930.34,566.8,930.34,566.8,930.34,614.66,930.34,614.66,930.34,592.05,930.34,587.26,930.34,593.58,930.34,593.58,930.34,592.05,930.34,614.66,930.34,614.66,930.34,575.34,930.34,566.8,930.34,575.34,930.34,593.58,930.34,592.05,930.34,592.05,930.34,614.66,930.34,587.26,930.34,614.66,930.34,592.05,930.34,592.05,930.34,575.34,930.34,566.8,930.34,592.03,930.34,583.9,930.34,566.8,930.34,593.58,930.34,592.03,930.34,583.9,930.34,566.8,930.34,575.34,930.34,614.66,930.34,592.05,930.34,614.66,930.34,592.03,930.34,587.26,930.34,614.66,930.34,575.34,930.34,583.9,930.34,593.58,930.34,614.66,930.34,587.26,930.34,945.99,0,945.99,0,945.99,0,945.99,0,Enter nutr inf pump any type
B9004,MS,,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,Parenteral infus pump portab
B9004,NU,,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,Parenteral infus pump portab
B9004,RR,,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,Parenteral infus pump portab
B9004,UE,,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,Parenteral infus pump portab
B9006,MS,,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,295.55,0,Parenteral infus pump statio
B9006,NU,,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,3734.03,0,Parenteral infus pump statio
B9006,RR,,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,591.1,0,Parenteral infus pump statio
B9006,UE,,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,2800.51,0,Parenteral infus pump statio
E0776,NU,BA,66.1,102.55,66.1,102.55,62.06,102.55,65.34,102.55,62.04,102.55,65.35,102.55,64.11,102.55,64.11,102.55,66.1,102.55,66.1,102.55,63.86,102.55,62.04,102.55,64.5,102.55,64.5,102.55,63.86,102.55,66.1,102.55,66.1,102.55,65.35,102.55,64.11,102.55,65.35,102.55,64.5,102.55,63.86,102.55,63.86,102.55,66.1,102.55,62.04,102.55,66.1,102.55,63.86,102.55,63.86,102.55,65.35,102.55,64.11,102.55,62.06,102.55,65.34,102.55,64.11,102.55,64.5,102.55,62.06,102.55,65.34,102.55,64.11,102.55,65.35,102.55,66.1,102.55,63.86,102.55,66.1,102.55,62.06,102.55,62.04,102.55,66.1,102.55,65.35,102.55,65.34,102.55,64.5,102.55,66.1,102.55,62.04,102.55,102.55,0,102.55,0,102.55,0,102.55,0,Iv pole
E0776,NU,KE,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,0,112.28,112.28,0,112.28,0,112.28,0,112.28,0,Iv pole
E0776,RR,BA,6.61,20.52,6.61,20.52,6.21,20.52,6.54,20.52,6.21,20.52,6.54,20.52,6.41,20.52,6.41,20.52,6.61,20.52,6.61,20.52,6.39,20.52,6.21,20.52,6.45,20.52,6.45,20.52,6.39,20.52,6.61,20.52,6.61,20.52,6.54,20.52,6.41,20.52,6.54,20.52,6.45,20.52,6.39,20.52,6.39,20.52,6.61,20.52,6.21,20.52,6.61,20.52,6.39,20.52,6.39,20.52,6.54,20.52,6.41,20.52,6.21,20.52,6.54,20.52,6.41,20.52,6.45,20.52,6.21,20.52,6.54,20.52,6.41,20.52,6.54,20.52,6.61,20.52,6.39,20.52,6.61,20.52,6.21,20.52,6.21,20.52,6.61,20.52,6.54,20.52,6.54,20.52,6.45,20.52,6.61,20.52,6.21,20.52,20.52,0,20.52,0,20.52,0,20.52,0,Iv pole
E0776,RR,KE,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,0,22.98,22.98,0,22.98,0,22.98,0,22.98,0,Iv pole
E0776,UE,BA,49.57,76.92,49.57,76.92,46.54,76.92,49.01,76.92,46.53,76.92,49.02,76.92,48.08,76.92,48.08,76.92,49.57,76.92,49.57,76.92,47.9,76.92,46.53,76.92,48.38,76.92,48.38,76.92,47.9,76.92,49.57,76.92,49.57,76.92,49.02,76.92,48.08,76.92,49.02,76.92,48.38,76.92,47.9,76.92,47.9,76.92,49.57,76.92,46.53,76.92,49.57,76.92,47.9,76.92,47.9,76.92,49.02,76.92,48.08,76.92,46.54,76.92,49.01,76.92,48.08,76.92,48.38,76.92,46.54,76.92,49.01,76.92,48.08,76.92,49.02,76.92,49.57,76.92,47.9,76.92,49.57,76.92,46.54,76.92,46.53,76.92,49.57,76.92,49.02,76.92,49.01,76.92,48.38,76.92,49.57,76.92,46.53,76.92,76.92,0,76.92,0,76.92,0,76.92,0,Iv pole
E0776,UE,KE,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,0,84.22,84.22,0,84.22,0,84.22,0,84.22,0,Iv pole
